arxiv	doi	year	seeds	venue	title
2410.01252	10.1007/s42484-026-00397-2	2024	varbench	Quantum Machine Intelligence	Resource-efficient equivariant quantum convolutional neural networks
2409.00398	10.1103/t8m6-zhrm	2024	varbench		Variational Monte Carlo with Neural Network Quantum States for Yang-Mills Matrix Model
2408.16453	10.1103/physrevresearch.7.013194	2024	varbench	Physical Review Research	Phase diagram of the <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML"><mml:msub><mml:mi>J</mml:mi><mml:mn>1</mml:mn></mml:msub><mml:mtext>−</mml:mtext><mml:msub><mml:mi>J</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:math> Heisenberg second-order topological quantum magnet
2408.08639	10.1088/2058-9565/ae0d79	2024	varbench	Quantum Science and Technology	Solving the quantum many-body Hamiltonian learning problem with neural differential equations
2407.04773	10.1103/physrevb.110.205147	2024	varbench	Physical Review B	Transformer wave function for quantum long-range models
2406.15557	10.1038/s41467-025-57930-3	2024	varbench	Nature Communications	Observation of a non-Hermitian supersonic mode on a trapped-ion quantum computer
2406.11677	10.21468/scipostphys.18.3.112	2024	varbench	SciPost Physics	Neural quantum state study of fracton models
2406.09077	10.1038/s42005-025-01955-z	2024	varbench	Communications Physics	Spectroscopy of two-dimensional interacting lattice electrons using symmetry-aware neural backflow transformations
2405.20384	10.1038/s42005-025-02226-7	2024	varbench	Communications Physics	Recurrent neural network wave functions for Rydberg atom arrays on kagome lattice
2405.17541	10.1103/pgnx-11ph	2024	varbench	Physical review letters	Approximately-symmetric neural networks for quantum spin liquids
2405.03754	10.22331/q-2025-04-01-1682	2024	varbench	Quantum	Early Fault-Tolerant Quantum Algorithms in Practice: Application to Ground-State Energy Estimation
2404.07869	10.22331/q-2025-06-17-1772	2024	varbench	Quantum	Accurate neural quantum states for interacting lattice bosons
2404.08053	10.1103/prxquantum.5.040320	2024	varbench	PRX Quantum	Benchmarking Digital Quantum Simulations Above Hundreds of Qubits Using Quantum Critical Dynamics
2403.07447	10.1038/s41467-024-53672-w	2024	varbench	Nature Communications	Ab-initio variational wave functions for the time-dependent many-electron Schrödinger equation
2403.00910	10.1126/science.ado6285	2024	varbench	Science	Beyond-classical computation in quantum simulation.
2402.11869	10.1109/qce65121.2025.00250	2024	varbench	2025 IEEE International Conference on Quantum Computing and Engineering (QCE)	Orbital-Rotated Fermi-Hubbard Model as a Benchmarking Problem for Quantum Chemistry with the Exact Solution
2402.11014	10.1140/epjp/s13360-024-05311-y	2024	varbench	The European Physical Journal Plus	Neural-network quantum states for many-body physics
2401.03015	10.22331/q-2025-04-09-1704	2024	varbench	Quantum	Ground state energy and magnetization curve of a frustrated magnetic system from real-time evolution on a digital quantum processor
2312.08065	10.1103/physrevb.109.174409	2023	varbench	Physical Review B	Hubbard physics with Rydberg atoms: Using a quantum spin simulator to simulate strong fermionic correlations
2311.18706	10.1038/s41467-024-51592-3	2023	varbench	Nature Communications	Certified algorithms for equilibrium states of local quantum Hamiltonians
2310.05844	10.1103/physrevx.14.031006	2023	varbench	Physical Review X	Certifying Ground-State Properties of Many-Body Systems
		2023	varbench		Certifying ground-state properties of quantum many-body systems
2308.10934	10.1103/physrevresearch.6.023261	2023	varbench	Physical Review Research	Simplicity of mean-field theories in neural quantum states
2308.08594	10.1103/physrevresearch.6.013237	2023	varbench	Physical Review Research	Automatic order detection and restoration through systematically improvable variational wave functions
2308.07964	10.1063/5.0173591	2023	varbench	The Journal of chemical physics	Quantum computing for chemistry and physics applications from a Monte Carlo perspective.
2307.12323	10.1088/1367-2630/ad64fb	2023	varbench	New Journal of Physics	Single entanglement connection architecture between multi-layer bipartite hardware efficient ansatz
2307.10324	10.1088/1367-2630/ad634a	2023	varbench	New Journal of Physics	Applicability of measurement-based quantum computation towards physically-driven variational quantum eigensolver
2307.07050	10.48550/arxiv.2307.07050	2023	varbench	ArXiv	Wasserstein Quantum Monte Carlo: A Novel Approach for Solving the Quantum Many-Body Schrödinger Equation
2306.16877	10.1088/1361-648x/ad0916	2023	varbench	Journal of Physics: Condensed Matter	Boltzmann machines and quantum many-body problems
2306.13126	10.22331/q-2024-12-11-1559	2023	varbench	2023 IEEE International Conference on Quantum Computing and Engineering (QCE)	HamLib: A Library of Hamiltonians for Benchmarking Quantum Algorithms and Hardware
2306.02620	10.1103/hpt6-9tnk	2023	varbench	Physical Review B	Feasibility of performing quantum chemistry calculations on quantum computers
2305.14294	10.22331/q-2023-10-10-1131	2023	varbench	Quantum	Unbiasing time-dependent Variational Monte Carlo by projected quantum evolution
2305.06855	10.1063/5.0159108	2023	varbench	Journal of Mathematical Physics	Entropy constraints for ground energy optimization
2305.02516	10.1103/physrevb.108.l121411	2023	varbench	Physical Review B	Quantum Wigner molecules in moiré materials
2303.15626	10.1038/s42005-024-01552-6	2023	varbench	Communications Physics	A framework for demonstrating practical quantum advantage: comparing quantum against classical generative models
2303.14108	10.21468/scipostphyscore.6.4.088	2023	varbench	SciPost Physics Core	Neural network quantum states analysis of the Shastry-Sutherland model
2303.06672	10.1103/physrevx.13.041036	2023	varbench	Physical Review X	Superconductivity Studied by Solving <i>Ab Initio</i> Low-Energy Effective Hamiltonians for Carrier Doped <mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mrow><mml:msub><mml:mrow><mml:mi>CaCuO</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mm
2302.11588		2023	varbench		Enhancing the Expressivity of Variational Neural, and Hardware-Efficient Quantum States Through Orbital Rotations
2302.09966		2023	varbench		Density functional description of long-range electron Coulomb interactions in bulk SnS
2302.01941	10.1038/s41567-024-02566-1	2023	varbench	Nature Physics	Empowering deep neural quantum states through efficient optimization
2210.05871	10.21468/scipostphys.14.6.171	2022	varbench	SciPost Physics	Autoregressive neural Slater-Jastrow ansatz for variational Monte Carlo simulation
