score	arxiv	peer_reviewed	n_energies	n_with_errorbar	n_tables	models	journal_ref	title
8	2608.26347	no	5	0	45	kagome+J1J2		Dynamical signatures of deconfined spinons in dimerized sawtooth chains
8	2506.23550	yes	0	0	40	pyrochlore+Hubbard+TFIsing	Phys. Rev. B 112, 155163 (2025)	Seeding neural network quantum states with tensor network states
8	2503.20122	no	26	0	32	triangular+Hubbard+Shastry		Deconfined Gapless phases and criticalities in Shastry-Sutherland Antiferromagnet
8	2608.06504	no	18	0	80	pyrochlore+Hubbard		Excitonic Magnetism in Ruthenium Pyrochlores
8	2604.12638	no	24	25	60			Exact tunneling splittings of rotationally excited states from symmetrized path-integral molecular dynamics
8	2509.09189	no	35	0	13	kagome+triangular+pyrochlore		Signatures of field-induced multi-color kagome spin liquids in the dipole-octupole pyrochlore $\mathrm{Ce_2Hf_2O_7}$
7	2506.22414	yes	0	0	58	triangular+Hubbard+Shastry	Phys. Rev. Lett. 135, 236504 (2025)	Spin Seebeck Effect of Triangular-lattice Spin Supersolid
7	2608.10365	no	20	0	42	TFIsing		Symmetrized Block-Product Periodic Marginals in Infinite Translation-Invariant Quantum Chains
7	2507.08073	yes	0	0	9	triangular+Hubbard	Phys. Rev. B 112, L161115 (2025)	Partial suppression of magnetism in the square lattice SU(3) Hubbard model
7	2506.01915	yes	0	0	5	triangular+Hubbard	Phys. Rev. Lett. 137, 040401 (2026)	Magnetic correlations in the $SU(3)$ triangular-lattice $t$-$J$ model at finite doping
7	2608.13238	yes	0	0	14	kagome+triangular+Hubbard	Rep. Prog. Phys. 89 (2026) 080503	Emergent Symmetry-Protected Topological Phases via Polyakov Confinement in Quantum Spin Systems
7	2508.13314	yes	0	0	5	kagome+triangular+Hubbard	Physical Review B 113, 035135 (2026)	Engineering Hubbard models with gated two-dimensional moiré systems
7	2505.18250	yes	0	0	107	kagome+triangular+pyrochlore	Phys. Rev. B 112, 195109 (2025)	Quantum Spin Liquids in Pyrochlore Magnets With Non-Kramers Local Moments
7	2505.15677	yes	1	0	62	triangular+pyrochlore	Phys. Rev. B 112, 144437 (2025)	Coupling quantum spin ice to matter on the centered pyrochlore lattice
7	2505.00767	yes	0	0	25	kagome+triangular+pyrochlore	Phys. Rev. B 112, 165110 (2025)	Anisotropic Spin Ice on a Breathing Pyrochlore Lattice
7	2503.09695	yes	0	0	25	kagome+triangular+pyrochlore+J1J2+Hubbard+Shastry	Phys. Rev. B 111, 214410 Published 4 June, 2025	Modified large-$N$ approach to gapless spin liquids, magnetic orders, and dynamics: Application to triangular lattice antiferromagnets
7	2608.08798	no	12	0	68	TFIsing		Symmetry Constraints Regularize Neural Quantum State Learning
7	2606.13912	no	6	0	55	Hubbard		Low-variance estimators overcome the phase-gradient bottleneck in complex-valued neural quantum states
7	2603.11189	no	3	0	127	J1J2+Hubbard+TFIsing		DysonNet: Constant-Time Local Updates for Neural Quantum States
7	2512.21503	no	4	0	22	kagome+triangular+Hubbard		Thermodynamic-Limit Evidence for Chiral Superconductivity Induced by Doping Chiral Topological Phases
7	2511.13978	yes	0	0	7	kagome+triangular+pyrochlore+J1J2+Shastry	Journal of Magnetism and Magnetic Materials Volume 637, 1 January 2026, 173687	Spin-singlet dimer phase in a frustrated square lattice under a magnetic field
7	2505.06798	no	50	0	18	J1J2		Autoregressive pairwise Graphical Models efficiently find ground state representations of stoquastic Hamiltonians
6	2506.12391	no	0	0	23	kagome+triangular+TFIsing		Simulating the Antiferromagnetic Heisenberg Model on a Spin-Frustrated Kagome Lattice with the Contextual Subspace Variational Quantum Eigensolver
6	2602.18213	yes	0	0	9	triangular+pyrochlore	AIP Advances 16, 025031 (2026)	Machine-learning force-field models for dynamical simulations of metallic magnets
6	2511.19340	yes	0	0	30	TFIsing	Phys. Rev. Research 8, 023311 (2026)	Simulating dynamics of the two-dimensional transverse-field Ising model: a comparative study of large-scale classical numerics
6	2509.02658	no	6	0	97	J1J2		Simultaneous approximation of multiple degenerate states using a single neural network quantum state
6	2508.16720	yes	0	0	3	triangular+Hubbard	Phys. Rev. B 113, 174528, 22 May, 2026	Searching for superconductivity in doped triangular lattice Kitaev magnets
6	2507.10835	no	0	0	90	triangular+pyrochlore+Hubbard+TFIsing		Functional Neural Wavefunction Optimization
6	2609.11745	no	0	0	5	kagome+triangular+Hubbard+Shastry		Unraveling the Kagome Antiferromagnetic $3J$ Model and Its Materials: An Integrated Approach
6	2608.21291	no	0	0	27	kagome+triangular+J1J2+Hubbard+Shastry+TFIsing+square-Heis		Neural quantum states in condensed matter: advances, best practices, and prospects
6	2606.25600	no	0	0	49	kagome+J1J2+TFIsing		Two-dimensional Hyperbolic RNN Neural Quantum State
6	2606.07825	no	0	0	83	pyrochlore+J1J2+Hubbard+TFIsing		Projected Inverse Iteration: An Eigenvalue Approach to Ground-State Computation with Neural Quantum States
6	2605.07685	no	0	0	41	kagome+triangular+J1J2+Hubbard		Ground states of quantum XY dipoles on the Archimedean lattices
